"ID","time_car","cost_car","time_bus","cost_bus","access_bus","time_air","cost_air","access_air","service_air","time_rail","cost_rail","access_rail","service_rail","choice"
41,250,50,420,20,20,60,65,50,"no-frills",130,65,10,"wifi","air"
42,390,35,420,20,5,60,50,55,"food",140,55,5,"no-frills","air"
43,390,40,390,30,10,50,50,55,"food",170,35,5,"wifi","rail"
44,390,30,420,20,15,50,80,55,"wifi",140,55,5,"no-frills","rail"
45,250,50,420,15,25,90,65,45,"no-frills",120,75,5,"food","car"
46,250,40,330,35,10,90,80,40,"no-frills",170,35,25,"wifi","rail"
47,275,30,420,20,25,90,80,35,"wifi",130,75,25,"wifi","car"
48,275,45,300,30,25,50,95,45,"food",170,35,10,"wifi","rail"
49,275,50,300,35,5,60,110,40,"wifi",120,75,15,"food","rail"
50,390,35,420,15,10,50,95,55,"food",140,55,10,"no-frills","bus"
51,345,35,360,30,5,70,110,40,"no-frills",140,45,25,"food","rail"
52,345,45,390,25,25,80,65,55,"food",120,35,5,"no-frills","rail"
53,250,50,390,20,15,60,80,55,"no-frills",130,75,15,"food","car"
54,390,30,390,35,5,70,110,35,"wifi",170,35,25,"food","car"
55,275,45,330,30,15,90,65,45,"no-frills",140,65,15,"wifi","rail"
56,300,45,420,25,15,80,50,50,"no-frills",140,55,10,"food","rail"
57,300,40,330,25,15,70,80,35,"food",170,35,25,"wifi","rail"
58,345,40,345,30,15,90,50,35,"wifi",130,55,20,"food","air"
59,390,35,390,35,5,70,95,45,"food",140,45,20,"no-frills","car"
60,345,35,390,20,25,80,50,55,"food",130,65,5,"wifi","air"
61,275,40,360,25,25,80,80,40,"wifi",140,55,20,"no-frills","car"
62,275,45,420,20,15,80,80,40,"wifi",130,35,15,"food","rail"
63,250,50,420,20,20,60,110,35,"food",140,55,25,"no-frills","car"
64,250,35,420,20,15,80,80,45,"no-frills",155,55,20,"wifi","rail"
65,390,30,390,20,10,50,65,50,"wifi",130,75,10,"no-frills","air"
66,390,35,390,15,5,50,110,50,"food",140,75,20,"no-frills","bus"
67,275,50,360,15,5,80,110,35,"wifi",155,35,20,"no-frills","rail"
68,300,40,390,20,20,50,65,55,"wifi",170,45,5,"no-frills","air"
69,345,45,345,25,20,70,110,35,"food",130,45,10,"no-frills","rail"
70,275,50,420,15,5,50,50,55,"no-frills",120,75,5,"food","bus"
71,250,45,360,20,10,90,50,40,"wifi",140,65,20,"food","air"
72,345,35,360,30,25,60,50,55,"wifi",140,55,5,"food","air"
73,275,45,360,25,20,90,65,35,"wifi",130,55,20,"food","air"
74,300,40,420,15,10,90,50,35,"no-frills",140,55,25,"food","air"
75,250,45,300,35,20,70,65,50,"no-frills",120,75,10,"wifi","rail"
76,390,30,390,25,5,90,50,50,"food",140,55,15,"no-frills","rail"
77,345,40,345,35,10,90,65,40,"food",130,35,20,"no-frills","rail"
78,345,45,345,30,25,80,110,40,"food",120,45,5,"no-frills","rail"
79,345,30,420,15,20,60,110,40,"wifi",170,35,15,"no-frills","air"
80,250,45,390,25,20,90,50,40,"wifi",155,55,20,"no-frills","air"
81,250,40,300,35,10,80,95,40,"food",155,45,25,"no-frills","air"
82,300,45,300,35,5,60,110,50,"no-frills",155,65,20,"food","rail"
83,345,30,345,30,15,80,50,50,"no-frills",155,55,10,"wifi","rail"
84,300,50,300,25,5,80,50,50,"wifi",130,75,15,"no-frills","air"
85,250,50,330,30,15,80,50,55,"wifi",130,55,10,"no-frills","air"
86,275,50,360,25,10,70,65,50,"no-frills",120,65,10,"wifi","rail"
87,300,30,330,35,15,70,95,50,"no-frills",140,75,25,"wifi","rail"
88,390,30,390,30,10,80,80,35,"no-frills",130,65,25,"food","rail"
89,300,40,390,15,5,70,95,50,"wifi",130,75,10,"food","bus"
90,275,30,420,20,20,80,95,35,"food",170,35,25,"wifi","rail"
91,300,40,420,20,5,50,110,50,"wifi",155,65,20,"no-frills","car"
92,345,35,420,20,25,60,110,45,"wifi",170,35,15,"no-frills","rail"
93,250,40,360,30,25,60,95,45,"no-frills",170,45,10,"wifi","rail"
94,250,40,420,15,10,50,95,40,"no-frills",155,75,25,"wifi","car"
95,345,35,390,15,10,90,65,50,"food",155,35,10,"no-frills","rail"
96,390,35,390,15,5,50,95,40,"wifi",170,35,25,"food","car"
97,250,45,420,15,20,90,50,35,"food",140,65,25,"wifi","air"
98,300,40,300,30,5,50,65,50,"no-frills",170,65,25,"wifi","rail"
99,250,45,360,20,10,90,50,40,"wifi",140,65,20,"food","air"
100,345,35,360,30,25,60,50,55,"wifi",140,55,5,"food","air"
101,275,45,360,25,20,90,65,35,"wifi",130,55,20,"food","car"
102,300,40,420,15,10,90,50,35,"no-frills",140,55,25,"food","air"
103,250,45,300,35,20,70,65,50,"no-frills",120,75,10,"wifi","bus"
104,390,30,390,25,5,90,50,50,"food",140,55,15,"no-frills","air"
105,345,40,345,35,10,90,65,40,"food",130,35,20,"no-frills","rail"
106,345,45,345,30,25,80,110,40,"food",120,45,5,"no-frills","rail"
107,345,30,420,15,20,60,110,40,"wifi",170,35,15,"no-frills","rail"
108,250,45,390,25,20,90,50,40,"wifi",155,55,20,"no-frills","air"
109,250,40,300,35,10,80,95,40,"food",155,45,25,"no-frills","bus"
110,300,45,300,35,5,60,110,50,"no-frills",155,65,20,"food","rail"
111,345,30,345,30,15,80,50,50,"no-frills",155,55,10,"wifi","air"
112,300,50,300,25,5,80,50,50,"wifi",130,75,15,"no-frills","bus"
113,390,35,390,20,15,50,50,45,"wifi",155,55,15,"food","air"
114,345,40,390,25,25,60,110,40,"food",130,45,10,"no-frills","rail"
115,390,30,420,20,25,60,95,55,"wifi",130,55,5,"no-frills","car"
116,345,40,390,25,20,50,80,50,"food",140,45,10,"wifi","rail"
117,300,50,420,15,20,50,110,45,"wifi",130,75,10,"food","rail"
118,390,30,420,15,5,60,110,40,"wifi",140,65,25,"no-frills","car"
119,345,40,345,35,25,80,80,45,"food",120,45,10,"no-frills","rail"
120,345,45,360,30,25,90,95,40,"wifi",120,45,10,"food","rail"
121,275,50,360,30,15,50,50,50,"wifi",155,45,10,"no-frills","air"
122,250,35,360,20,5,70,95,40,"food",170,45,25,"wifi","rail"
123,390,30,390,15,10,70,110,40,"no-frills",120,65,25,"food","rail"
124,250,50,330,15,10,70,95,45,"food",140,65,20,"no-frills","car"
125,390,30,390,35,10,50,65,55,"no-frills",140,75,10,"food","rail"
126,345,40,360,25,20,90,50,55,"wifi",140,35,5,"food","rail"
127,250,45,300,25,5,70,80,35,"food",170,35,25,"wifi","rail"
128,275,50,390,25,20,70,80,40,"no-frills",140,35,15,"food","rail"
129,390,40,390,25,5,60,110,50,"wifi",130,75,15,"no-frills","car"
130,390,40,390,20,5,60,110,45,"no-frills",120,75,20,"food","bus"
131,300,40,360,25,15,80,50,55,"wifi",170,35,5,"food","car"
132,275,40,300,30,5,70,65,45,"no-frills",170,35,25,"food","rail"
133,345,35,345,35,20,90,50,35,"wifi",130,65,20,"food","bus"
134,300,50,330,30,15,50,65,55,"food",130,75,5,"wifi","bus"
135,250,30,360,30,25,60,95,45,"no-frills",170,55,20,"food","car"
136,345,35,390,25,25,50,50,55,"food",170,45,5,"wifi","air"
137,275,50,330,30,20,80,65,35,"wifi",155,55,20,"no-frills","car"
138,300,45,330,30,10,60,80,55,"no-frills",140,45,10,"food","rail"
139,250,50,330,30,25,60,110,45,"food",120,75,10,"wifi","car"
140,300,35,420,20,15,90,65,35,"food",170,35,25,"wifi","rail"
141,250,30,330,35,25,90,80,35,"wifi",140,65,15,"no-frills","car"
142,300,35,360,25,25,70,80,45,"no-frills",155,35,15,"wifi","rail"
143,250,50,420,20,15,60,95,45,"no-frills",140,75,10,"food","car"
144,275,35,390,15,5,70,95,35,"wifi",140,65,20,"food","air"
145,390,30,420,20,20,50,80,35,"wifi",130,65,25,"no-frills","air"
146,390,35,390,35,25,70,110,45,"food",130,35,10,"no-frills","rail"
147,300,45,330,35,25,90,50,55,"food",120,65,5,"no-frills","air"
148,300,40,330,25,15,80,50,50,"no-frills",155,35,5,"wifi","rail"
149,390,30,390,35,5,90,80,45,"food",120,55,15,"no-frills","rail"
150,275,40,300,35,10,80,80,40,"no-frills",170,55,25,"wifi","car"
151,345,35,345,35,25,70,50,55,"food",170,45,5,"wifi","rail"
152,275,50,390,25,15,60,65,50,"food",155,55,15,"wifi","rail"
153,250,50,300,35,5,50,95,50,"wifi",120,65,10,"no-frills","air"
154,345,40,345,30,20,60,65,55,"no-frills",155,45,5,"wifi","rail"
155,300,40,330,25,15,70,80,35,"food",170,35,25,"wifi","rail"
156,345,40,345,30,15,90,50,35,"wifi",130,55,20,"food","car"
157,390,35,390,35,5,70,95,45,"food",140,45,20,"no-frills","rail"
158,345,35,390,20,25,80,50,55,"food",130,65,5,"wifi","car"
159,275,40,360,25,25,80,80,40,"wifi",140,55,20,"no-frills","car"
160,250,50,420,20,20,60,110,35,"food",140,55,25,"no-frills","car"
161,390,30,420,20,20,50,65,55,"no-frills",130,75,10,"wifi","air"
162,250,35,420,20,15,80,80,45,"no-frills",155,55,20,"wifi","car"
163,300,35,300,30,20,80,95,35,"food",140,45,20,"wifi","car"
164,390,35,390,15,5,50,110,50,"food",140,75,20,"no-frills","car"
165,275,50,360,15,5,80,110,35,"wifi",155,35,20,"no-frills","rail"
166,300,40,390,20,20,50,65,55,"wifi",170,45,5,"no-frills","rail"
167,345,45,345,25,20,70,110,35,"food",130,45,10,"no-frills","rail"
168,275,50,420,15,5,50,50,55,"no-frills",120,75,5,"food","car"
169,250,45,360,20,10,90,50,40,"wifi",140,65,20,"food","air"
170,345,35,360,30,25,60,50,55,"wifi",140,55,5,"food","rail"
171,275,45,360,25,20,90,65,35,"wifi",130,55,20,"food","car"
172,300,40,420,15,10,90,50,35,"no-frills",140,55,25,"food","air"
173,250,45,300,35,20,70,65,50,"no-frills",120,75,10,"wifi","air"
174,390,30,390,25,5,90,50,50,"food",140,55,15,"no-frills","air"
175,345,40,345,35,10,90,65,40,"food",130,35,20,"no-frills","rail"
176,345,45,345,30,25,80,110,40,"food",120,45,5,"no-frills","rail"
177,345,30,420,15,20,60,110,40,"wifi",170,35,15,"no-frills","rail"
178,250,45,390,25,20,90,50,40,"wifi",155,55,20,"no-frills","air"
179,250,40,300,35,10,80,95,40,"food",155,45,25,"no-frills","car"
180,300,45,300,35,5,60,110,50,"no-frills",155,65,20,"food","car"
181,275,50,360,20,25,70,110,40,"no-frills",120,75,15,"food","bus"
182,300,50,300,25,5,80,50,50,"wifi",130,75,15,"no-frills","air"
183,275,50,390,25,20,70,80,40,"no-frills",140,35,15,"food","car"
184,390,40,390,25,5,60,110,50,"wifi",130,75,15,"no-frills","car"
185,390,40,390,20,5,60,110,45,"no-frills",120,75,20,"food","rail"
186,300,40,360,25,15,80,50,55,"wifi",170,35,5,"food","rail"
187,345,30,345,35,15,70,95,40,"no-frills",155,55,20,"food","car"
188,275,40,300,30,5,70,65,45,"no-frills",170,35,25,"food","air"
189,345,35,345,35,20,90,50,35,"wifi",130,65,20,"food","car"
190,300,50,330,30,15,50,65,55,"food",130,75,5,"wifi","air"
191,250,30,360,30,25,60,95,45,"no-frills",170,55,20,"food","car"
192,345,35,390,25,25,50,50,55,"food",170,45,5,"wifi","rail"
193,275,50,330,30,20,80,65,35,"wifi",155,55,20,"no-frills","air"
194,300,45,330,30,10,60,80,55,"no-frills",140,45,10,"food","rail"
195,345,30,390,15,5,70,95,45,"no-frills",140,65,20,"food","rail"
196,300,35,420,20,15,90,65,35,"food",170,35,25,"wifi","car"
197,250,50,330,30,15,80,50,55,"wifi",130,55,10,"no-frills","air"
198,275,50,360,25,10,70,65,50,"no-frills",120,65,10,"wifi","rail"
199,300,30,330,35,15,70,95,50,"no-frills",140,75,25,"wifi","car"
200,390,30,390,30,10,80,80,35,"no-frills",130,65,25,"food","rail"
201,300,45,390,25,20,70,95,50,"food",120,35,10,"wifi","rail"
202,275,30,420,20,20,80,95,35,"food",170,35,25,"wifi","rail"
203,300,40,420,20,5,50,110,50,"wifi",155,65,20,"no-frills","car"
204,345,35,420,20,25,60,110,45,"wifi",170,35,15,"no-frills","car"
205,250,40,360,30,25,60,95,45,"no-frills",170,45,10,"wifi","rail"
206,345,35,390,15,10,90,65,50,"food",155,35,10,"no-frills","rail"
207,390,35,390,15,5,50,95,40,"wifi",170,35,25,"food","rail"
208,250,45,420,15,20,90,50,35,"food",140,65,25,"wifi","car"
209,250,40,390,20,15,90,65,35,"food",170,35,25,"wifi","rail"
210,300,40,300,30,5,50,65,50,"no-frills",170,65,25,"wifi","bus"
211,300,30,300,35,10,80,110,40,"food",170,55,25,"wifi","car"
212,345,45,345,25,10,90,50,55,"wifi",130,35,5,"food","rail"
213,390,35,390,35,5,50,80,55,"wifi",155,55,15,"no-frills","air"
214,300,45,330,35,20,80,95,45,"no-frills",120,55,5,"food","rail"
215,345,30,420,15,15,60,65,55,"no-frills",170,45,10,"wifi","car"
216,345,30,420,20,15,80,80,50,"no-frills",120,75,10,"wifi","rail"
217,250,50,360,20,5,80,80,40,"food",120,45,20,"wifi","rail"
218,275,35,360,30,15,90,80,35,"wifi",170,35,20,"food","rail"
219,275,50,420,25,20,70,95,50,"no-frills",120,45,15,"food","rail"
220,275,50,360,30,15,80,95,35,"no-frills",120,45,20,"wifi","rail"
221,300,45,300,30,10,80,50,55,"wifi",170,35,5,"food","rail"
222,275,50,360,15,20,50,110,45,"wifi",130,65,15,"food","car"
223,345,30,360,25,25,60,110,50,"food",140,75,5,"wifi","car"
224,250,50,420,20,20,60,65,50,"no-frills",130,65,10,"wifi","rail"
225,250,45,360,20,10,90,50,40,"wifi",140,65,20,"food","rail"
226,345,35,360,30,25,60,50,55,"wifi",140,55,5,"food","air"
227,275,45,360,25,20,90,65,35,"wifi",130,55,20,"food","rail"
228,300,40,420,15,10,90,50,35,"no-frills",140,55,25,"food","rail"
229,390,30,390,25,5,90,50,50,"food",140,55,15,"no-frills","air"
230,345,40,345,35,10,90,65,40,"food",130,35,20,"no-frills","air"
231,345,35,345,35,10,60,95,40,"food",130,75,15,"wifi","rail"
232,345,45,345,30,25,80,110,40,"food",120,45,5,"no-frills","rail"
233,345,30,420,15,20,60,110,40,"wifi",170,35,15,"no-frills","rail"
234,250,45,390,25,20,90,50,40,"wifi",155,55,20,"no-frills","air"
235,250,40,300,35,10,80,95,40,"food",155,45,25,"no-frills","rail"
236,300,45,300,35,5,60,110,50,"no-frills",155,65,20,"food","car"
237,275,50,360,20,25,70,110,40,"no-frills",120,75,15,"food","rail"
238,300,50,300,25,5,80,50,50,"wifi",130,75,15,"no-frills","air"
239,390,35,390,20,15,50,50,45,"wifi",155,55,15,"food","air"
240,390,30,420,20,25,60,95,55,"wifi",130,55,5,"no-frills","car"
241,345,40,390,25,20,50,80,50,"food",140,45,10,"wifi","rail"
242,300,50,420,15,20,50,110,45,"wifi",130,75,10,"food","car"
243,390,30,420,15,5,60,110,40,"wifi",140,65,25,"no-frills","car"
244,345,40,345,35,25,80,80,45,"food",120,45,10,"no-frills","rail"
245,300,40,390,25,20,60,65,55,"food",170,45,15,"wifi","rail"
246,300,50,390,15,10,60,50,55,"food",140,65,5,"no-frills","car"
247,345,45,360,30,25,90,95,40,"wifi",120,45,10,"food","rail"
248,275,50,360,30,15,50,50,50,"wifi",155,45,10,"no-frills","air"
249,250,35,360,20,5,70,95,40,"food",170,45,25,"wifi","car"
250,250,50,330,15,10,70,95,45,"food",140,65,20,"no-frills","bus"
251,390,30,390,35,10,50,65,55,"no-frills",140,75,10,"food","air"
252,345,40,360,25,20,90,50,55,"wifi",140,35,5,"food","air"
253,275,50,330,35,20,80,65,55,"food",120,45,5,"no-frills","car"
254,275,45,330,15,5,70,110,40,"wifi",170,55,25,"food","car"
255,300,45,300,15,10,60,110,40,"wifi",155,65,20,"no-frills","car"
256,390,35,390,35,10,60,95,45,"wifi",155,65,15,"food","car"
257,275,40,360,30,20,50,80,50,"no-frills",155,55,5,"food","car"
258,250,50,360,25,15,60,110,45,"food",120,65,20,"wifi","car"
259,250,45,390,20,25,90,50,35,"wifi",170,35,15,"food","rail"
260,275,40,360,30,10,70,65,50,"wifi",170,35,15,"food","rail"
261,390,30,390,25,25,90,65,35,"food",120,65,15,"no-frills","air"
262,275,50,330,25,25,70,80,50,"no-frills",120,55,5,"food","rail"
263,390,35,420,15,25,60,110,35,"wifi",130,55,15,"no-frills","car"
264,300,45,390,25,10,50,50,55,"wifi",170,45,5,"no-frills","air"
265,345,30,345,35,5,50,110,45,"wifi",140,65,15,"no-frills","bus"
266,250,40,300,30,15,80,80,40,"no-frills",140,75,20,"wifi","car"
267,250,50,330,30,15,80,50,55,"wifi",130,55,10,"no-frills","car"
268,275,50,360,25,10,70,65,50,"no-frills",120,65,10,"wifi","air"
269,300,30,330,35,15,70,95,50,"no-frills",140,75,25,"wifi","car"
270,390,30,390,30,10,80,80,35,"no-frills",130,65,25,"food","car"
271,300,40,390,15,5,70,95,50,"wifi",130,75,10,"food","car"
272,275,30,420,20,20,80,95,35,"food",170,35,25,"wifi","rail"
273,300,40,420,20,5,50,110,50,"wifi",155,65,20,"no-frills","car"
274,345,35,420,20,25,60,110,45,"wifi",170,35,15,"no-frills","rail"
275,250,40,360,30,25,60,95,45,"no-frills",170,45,10,"wifi","car"
276,345,35,390,15,10,90,65,50,"food",155,35,10,"no-frills","rail"
277,390,35,390,15,5,50,95,40,"wifi",170,35,25,"food","rail"
278,250,45,420,15,20,90,50,35,"food",140,65,25,"wifi","rail"
279,250,40,390,20,15,90,65,35,"food",170,35,25,"wifi","air"
280,300,40,300,30,5,50,65,50,"no-frills",170,65,25,"wifi","bus"
281,390,30,390,15,10,70,95,45,"wifi",130,75,15,"food","car"
282,345,45,345,35,25,60,95,50,"food",120,45,5,"no-frills","rail"
283,250,45,390,20,20,90,50,50,"no-frills",120,75,5,"wifi","car"
284,300,45,420,15,10,50,110,45,"wifi",130,75,15,"food","car"
285,390,30,420,15,20,90,65,35,"food",130,65,20,"no-frills","rail"
286,390,40,390,15,10,60,110,35,"wifi",155,65,25,"no-frills","car"
287,250,45,330,30,10,80,50,45,"no-frills",155,65,15,"food","car"
288,275,40,390,15,5,90,80,40,"food",130,65,20,"no-frills","car"
289,275,50,420,20,15,50,80,50,"no-frills",155,35,10,"food","rail"
290,345,50,360,30,20,50,80,55,"wifi",155,45,5,"food","rail"
291,390,35,390,35,25,50,95,35,"no-frills",120,75,15,"wifi","car"
292,300,35,330,30,15,90,65,35,"food",155,45,20,"no-frills","car"
293,250,50,360,30,25,90,65,35,"food",120,55,25,"wifi","rail"
294,390,35,390,35,20,70,95,45,"no-frills",120,55,10,"no-frills","rail"
295,390,35,390,20,15,50,50,45,"wifi",155,55,15,"food","rail"
296,345,40,390,25,25,60,110,40,"food",130,45,10,"no-frills","car"
297,390,30,420,20,25,60,95,55,"wifi",130,55,5,"no-frills","car"
298,345,40,390,25,20,50,80,50,"food",140,45,10,"wifi","rail"
299,390,30,420,15,5,60,110,40,"wifi",140,65,25,"no-frills","rail"
300,345,40,345,35,25,80,80,45,"food",120,45,10,"no-frills","rail"
301,300,40,390,25,20,60,65,55,"food",170,45,15,"wifi","rail"
302,300,50,390,15,10,60,50,55,"food",140,65,5,"no-frills","air"
303,345,45,360,30,25,90,95,40,"wifi",120,45,10,"food","rail"
304,250,35,360,20,5,70,95,40,"food",170,45,25,"wifi","car"
305,390,30,390,15,10,70,110,40,"no-frills",120,65,25,"food","car"
306,250,50,330,15,10,70,95,45,"food",140,65,20,"no-frills","car"
307,390,30,390,35,10,50,65,55,"no-frills",140,75,10,"food","car"
308,345,40,360,25,20,90,50,55,"wifi",140,35,5,"food","car"
309,275,50,330,35,20,80,65,55,"food",120,45,5,"no-frills","rail"
310,275,45,330,15,5,70,110,40,"wifi",170,55,25,"food","rail"
311,275,45,390,15,25,70,80,55,"no-frills",155,35,5,"no-frills","rail"
312,300,45,300,15,10,60,110,40,"wifi",155,65,20,"no-frills","air"
313,390,35,390,35,10,60,95,45,"wifi",155,65,15,"food","rail"
314,275,40,360,30,20,50,80,50,"no-frills",155,55,5,"food","car"
315,250,50,360,25,15,60,110,45,"food",120,65,20,"wifi","rail"
316,275,30,390,25,15,90,65,40,"no-frills",155,65,25,"wifi","car"
317,390,30,390,25,25,90,65,35,"food",120,65,15,"no-frills","car"
318,275,50,330,25,25,70,80,50,"no-frills",120,55,5,"food","rail"
319,390,35,420,15,25,60,110,35,"wifi",130,55,15,"no-frills","rail"
320,300,45,390,25,10,50,50,55,"wifi",170,45,5,"no-frills","air"
321,345,30,345,35,5,50,110,45,"wifi",140,65,15,"no-frills","rail"
322,250,40,300,30,15,80,80,40,"no-frills",140,75,20,"wifi","car"
323,390,40,390,30,10,50,50,55,"food",170,35,5,"wifi","rail"
324,390,30,420,20,15,50,80,55,"wifi",140,55,5,"no-frills","air"
325,250,50,420,15,25,90,65,45,"no-frills",120,75,5,"food","car"
326,300,30,390,20,5,70,110,40,"no-frills",155,75,25,"wifi","rail"
327,250,40,330,35,10,90,80,40,"no-frills",170,35,25,"wifi","rail"
328,275,45,300,30,25,50,95,45,"food",170,35,10,"wifi","car"
329,275,50,300,35,5,60,110,40,"wifi",120,75,15,"food","car"
330,250,45,330,20,10,70,80,45,"no-frills",170,45,20,"wifi","rail"
331,390,35,420,15,10,50,95,55,"food",140,55,10,"no-frills","car"
332,345,35,360,30,5,70,110,40,"no-frills",140,45,25,"food","car"
333,345,45,390,25,25,80,65,55,"food",120,35,5,"no-frills","rail"
334,390,30,390,35,5,70,110,35,"wifi",170,35,25,"food","rail"
335,275,45,330,30,15,90,65,45,"no-frills",140,65,15,"wifi","air"
336,300,45,420,25,15,80,50,50,"no-frills",140,55,10,"food","car"
337,300,40,330,25,15,70,80,35,"food",170,35,25,"wifi","rail"
338,345,40,345,30,15,90,50,35,"wifi",130,55,20,"food","air"
339,390,35,390,35,5,70,95,45,"food",140,45,20,"no-frills","rail"
340,345,35,390,20,25,80,50,55,"food",130,65,5,"wifi","air"
341,275,45,420,20,15,80,80,40,"wifi",130,35,15,"food","rail"
342,250,50,420,20,20,60,110,35,"food",140,55,25,"no-frills","rail"
343,390,30,420,20,20,50,65,55,"no-frills",130,75,10,"wifi","air"
344,250,35,420,20,15,80,80,45,"no-frills",155,55,20,"wifi","car"
345,300,35,300,30,20,80,95,35,"food",140,45,20,"wifi","rail"
346,390,30,390,20,10,50,65,50,"wifi",130,75,10,"no-frills","air"
347,390,35,390,15,5,50,110,50,"food",140,75,20,"no-frills","car"
348,275,50,360,15,5,80,110,35,"wifi",155,35,20,"no-frills","rail"
349,300,40,390,20,20,50,65,55,"wifi",170,45,5,"no-frills","air"
350,345,45,345,25,20,70,110,35,"food",130,45,10,"no-frills","rail"
351,250,45,360,20,10,90,50,40,"wifi",140,65,20,"food","car"
352,345,35,360,30,25,60,50,55,"wifi",140,55,5,"food","air"
353,275,45,360,25,20,90,65,35,"wifi",130,55,20,"food","rail"
354,250,45,300,35,20,70,65,50,"no-frills",120,75,10,"wifi","car"
355,390,30,390,25,5,90,50,50,"food",140,55,15,"no-frills","air"
356,345,40,345,35,10,90,65,40,"food",130,35,20,"no-frills","rail"
357,345,35,345,35,10,60,95,40,"food",130,75,15,"wifi","car"
358,345,45,345,30,25,80,110,40,"food",120,45,5,"no-frills","rail"
359,345,30,420,15,20,60,110,40,"wifi",170,35,15,"no-frills","car"
360,250,45,390,25,20,90,50,40,"wifi",155,55,20,"no-frills","car"
361,250,40,300,35,10,80,95,40,"food",155,45,25,"no-frills","car"
362,300,45,300,35,5,60,110,50,"no-frills",155,65,20,"food","car"
363,345,30,345,30,15,80,50,50,"no-frills",155,55,10,"wifi","car"
364,300,50,300,25,5,80,50,50,"wifi",130,75,15,"no-frills","air"
365,390,35,390,20,15,50,50,45,"wifi",155,55,15,"food","air"
366,345,40,390,25,25,60,110,40,"food",130,45,10,"no-frills","rail"
367,390,30,420,20,25,60,95,55,"wifi",130,55,5,"no-frills","car"
368,345,40,390,25,20,50,80,50,"food",140,45,10,"wifi","rail"
369,300,50,420,15,20,50,110,45,"wifi",130,75,10,"food","car"
370,390,30,420,15,5,60,110,40,"wifi",140,65,25,"no-frills","rail"
371,345,40,345,35,25,80,80,45,"food",120,45,10,"no-frills","rail"
372,300,50,390,15,10,60,50,55,"food",140,65,5,"no-frills","air"
373,345,45,360,30,25,90,95,40,"wifi",120,45,10,"food","rail"
374,275,50,360,30,15,50,50,50,"wifi",155,45,10,"no-frills","rail"
375,250,35,360,20,5,70,95,40,"food",170,45,25,"wifi","car"
376,390,30,390,15,10,70,110,40,"no-frills",120,65,25,"food","rail"
