Text,Sentiment
Talking about parking sense  You park car for 5 minutes and this big truck very conveniently blocks you  F-11 Markaz,1
"There are only two lanes from Gulberg/Korang bridge till Rawat, so 5 lanes of traffic has to merge into just 2 lanes of a pathetic, pothole-ridden road  This causes huge traffic jam ",1
No traffic at sham sabar,0
Khayaban Sir Syed Rd road is free,0
Korang Rd road is now free for bike riders,0
Traffic open from IJP to service road south i-8 islamabad,0
Airport Rd road is free now from heavy traffic jam,0
No traffic at furqanabad,0
Fort road is clear,0
Hanna Rd road is free,0
Murre road is clear now,0
Chandi chok is clear,0
koral chowk is clear for traffic  There is no traffic jam,0
khanapul is now closed for light traffic,1
Why is the highway blocked at airport exit?,1
Kohat Tunnel is closed for all kind of traffics,1
Khayaban Sir Syed Rd to Pirwadhai Rd road is closed now due to emergency,1
Wah cantt have huge traffic,1
G-9 is clear for all kind of traffic,0
Highway is closed so all truck come to the IJP road and heavy traffic jam happens,1
Range Rd road is closed due to heavy traffic jam,1
Traffic open from park service road to pine ave,0
Traffic open from lehtrar road to ziyarat rd,0
"Due to anti encroachment drive, burns road to regal chowk is blocked and traffic is diverting to jama cloth",1
Traffic open from lehtrar road to masjid al rehman rd,0
PirWadai is clear at 3 pm,0
Korang Rd road is now free for light traffic,0
9th avenue  is cleared due to shifting of heavy traffic to another road,0
Allama Iqbal Rd road is now free for bike riders,0
Khayaban Sir Syed Rd to Pirwadhai Rd road is closed,1
Saidpur Rd road is closed due to heavy traffic jam,1
Naval Anchorage Rd to Japan Rd road is now free for bike riders,0
Traffic open from service rd E to faisal ave,0
Pirwadhai Rd road is now closed for Havey traffic,1
IJP Road is temporally blocked due to heavy rain water,1
Traffic jam from main margalla rd to aurangzeb rd islamabad,1
"Ganjmandi Police Station towards Fawara Chowk, Ganj Mandi Road is closed for traffic",1
Allama Iqbal Rd to T Chowk road is closed,1
There no traffic at dem n ko,0
7up Chowk is closed for all kind of traffic after heavy traffic jam,1
Indus high is clear,0
Range Rd to Marble Rd road is now closed for bike riders,1
Fhawal mandi have no jams today,0
Traffic open from service road east to union council rd,0
The signal towards Faizabad is quite,0
Range Rd to Marble Rd road is closed,1
PIMS service road is now free for light traffic,0
Traffic jam from Zaibunnissa Street near Electronic Market,1
Stadium Rd to Saidpur Rd road is closed,1
Traffic open from service road WEST to service road south i-8 islamabad,0
It’s heavy rain today so people will face more traffic at Commercial road today in the evening,1
Marble Rd road is closed due to heavy traffic jam,1
Pirwadhai Rd to Dhoke Hassu road is closed due to heavy traffic jam,1
Traffic open from faqir aipee rd to service rd i-ll (south) islamabad,0
F-10 round about has no traffic,0
Zero point to Hanna Rd road is free now from heavy traffic jam,0
Zero point to Hanna Rd road is free now due to emergency,0
Roomi Rd road is now free for light traffic,0
Kurram road is opened from 4pm to 6 pm in the evening,0
Traffic jam from lehtrar road to kahota rd,1
PIMS Ibn-e-sina road is free,0
Traffic open from main margalla rd to faisal ave islamabad,0
Faizabad to khanapul road is free now from heavy traffic jam,0
khanapul to Airport Rd road is now closed for Havey traffic,1
IJP road right now block due to heavy rain,1
Traffic jam from lehtrar road to japan dam rd,1
9th avenue  is opened from 4pm to 6 pm in the evening,0
Traffic open from shakarparian rd to garden ave islamabad,0
Tusla road have no traffic,0
Traffic jam from main margalla rd to 9th ave  islamabad,1
Muree road is opened only to heavy traffic,0
IJP road is closed due to route in both ways,1
I-10 markaz is closed for all kind of traffic due to jam,1
Accident near Yusra Hospital GT road traffic jam,1
Kurram road is opened due to clearance of traffic,0
"DAV College Chowk towards Fawara Chowk, Liaquat Road is closed for traffic",1
"Rawal Dam Chowk towards Faizabad, both sides of roads will remain close for traffic ",1
Traffic open at shahrah e faisal,0
Ghouri town is clear today,0
T Chowk road is closed now due to emergency,1
Traffic jam from ataturk ave to begum sarfaraz iqbal rd islamabad,1
Traffic open from lehtrar road to japan dam rd,0
Faizabad is clear at 8pm,0
Traffic jam from main margalla rd to kohistan rd islamabad,1
"Akbar International Roundabout towards Naya Mohalla Chowk, Gorden College Road is closed for traffic",1
Faizabad is clear at 5pm,0
Traffic open from Natha Khan bridge to star gate,0
G 13 is clear,0
PIMS Ibn-e-sina road is now free for bike riders,0
Zero point to Hanna Rd road is now free for light traffic,0
Too much traffic at parking plaza karachi,1
There is huge at Baraco,1
Express way blocked toworda khanna pul reason vip movement,1
Major road is cleared due to shifting of heavy traffic to another road,0
Murree Road is temporally blocked due to heavy rain water,1
G6 have  traffic at the movement,1
"teen Talwar, Star Gate at Shahrah-e-Faisal, Numaish, Liaquatabad No 10, Sohrab Goth, Korangi No 5, Bara Board, Baldia No 4, Ranchor Line, Shoe Market, and New Karachi have been blocked for traffic",1
Garden Ave Flyover is free now due to emergency,0
the Islamabad highway blocked at the moment,1
Stadium Rd road is closed now due to emergency,1
Gulberg Underpass is now closed for Havey traffic,1
Kahuta Rd to Allama Iqbal Rd road is free now from heavy traffic jam,0
Express highway is blocked  Does somebody know why?,1
Pir Wadhai Mor Flyover is free now from heavy traffic jam,0
Korang Rd to Naval Anchorage Rd road is now closed for Havey traffic,1
Normal traffic at M1 motorway from Monday to Friday because its working days,0
Murree Road is blocked because people are protesting,1
Trafic jam on pims due to construction,1
University road is clear,0
Traffic jam before garden on lyari expressway  Long line of car,1
Traffic open from park rd to lehtrar rd,0
"From lasbella to rizvia chowk, Avoid using that road",1
There is no traffic jam in Islamabad,0
D 17 is clear,0
Traffic open at Jahangir road,0
F-11 is clear at 2pm,0
"Traffic disruption at Shahrah e Faisal, Karsaz, Stadium Road University Road, Rashid Minhas Road and surroundings  PTI rally is underway",1
Booni to Mastuj road is clear for traffic after landsliding,0
No traffic at marir chowk,0
There no jams at murre,0
"Super highway Karachi to Hyderabad, both roads are closed for traffic",1
Airport road to Gulberg Underpass is closed,1
Islamabas highway is clear today,0
Traffic jam from faqir aipee rd to service rd i-ll (south) islamabad,1
Pir Wadhai Mor Flyover is free,0
Faizabad is clear at 4 pm,0
Kalma chowk Road totally block due to heavy truck traffic last night,1
There no rush on the islamabad high way,0
Traffic openat Rashid Minhas road infront of Aladdin park,0
D17 is clear,0
Traffic jam from ghori town rd to madina town rd,1
Traffic open at golra interchange on round about islamabad,0
Traffic often reminded jam at Islamabad high way at PWD society and traffic police failed to dress this issue,1
No jams at Wapda town,0
Naval Anchorage Rd to Japan Rd road is closed,1
Traffic jam from park service road to pine ave,1
Hayatabad havr no rush at 3pm,0
Smart city is clear,0
Saidpur Rd road is free now from heavy traffic jam,0
There is an accident on Murree road near Dubai plaza due to which people are facing more traffic than normal routine at 3:47 PM,1
"Asghar Mall Road Murree Road Turn towards Degree College Chowk, Asghar Mall Road is closed for traffic",1
Stadium road signal is little bit busy right now,1
No traffic at gulberg green,0
9th avenue is closed due to bus accident on the way,1
Traffic open at koral chowk,0
Faisal Avenue Flyover is closed now due to emergency,1
Traffic open from 4rth ave rd to nur pur rd islamabad,0
Naval Anchorage Rd road is now free for Havey traffic,0
Golra road is closed due to labor strike,1
Garden Ave Flyover is closed,1
Saidpur Rd road is closed now due to emergency,1
No traffic at abbottabad at 2 pm,0
Kurram road is cleared due to shifting of heavy traffic to another road,0
A K  Fazl-ul-Haq Rd is now closed for light traffic,1
"Numaish chowk both roads are closed for traffic, traffic is diverted towards 45 congress to P P Chowrangi & society towards corrido",1
University road is closed for all kind of traffic,1
Maripur road is closed for traffic due to protest by residents of machar colony against anti encroachment operatio,1
Allama Iqbal Rd road is now closed for Havey traffic,1
Jinnah super is just closed from traffic jam,1
Current traffic condition at M T Khan Road ?,1
A K  Fazl-ul-Haq Rd is closed now due to emergency,1
Traffic open from ataturk ave to luqman hakeem rd islamabad,0
Madina Town road is closed due to heavy traffic jam,1
"Charing Cross at Mall Road, Data Darbar and Shahdara Chowk, Askari X and Bhatta Chowk  Roads from Askari X and Bhatta Chowk to the Allama Iqbal International Airport have also been blocked for traffic",1
DIVERSION:1  Traffic coming from Numaish to Noorani is diverted towards Ayesha Aziz 2  Traffic from Kashmir road is diverted to take left turn towards Numaish,1
AlamChowk road is opened properly due to proper working of traffic signals,0
Saidpur Rd to Khayaban Sir Syed Rd road is now closed for Havey traffic,1
Westridge is opened only to heavy traffic,0
Traffic jam from main margalla rd to service rd W islamabad,1
No traffic at pie badi at 2 pm,0
Traffic jam from main margalla rd to abdul rasheed rd islamabad,1
G10 double road is blocked because of police special plan for Muharram Ul harram,1
Traffic jam at peshawar mor interchange kashmir highway islamabad,1
Lake view towards Kashmir Chowk traffic is jam,1
"Super highway Karachi to Hyderabad, both roads are open for traffic  ",0
TLP Sit-in/Dharna underway in front of Punjab Assembly,1
Highway is clear at 3 pm,0
G11 is clear today no jams,0
HMC road is closed due to Chehlum Procession,1
Dhoke Hassu road is now free for Havey traffic,0
"Temporary traffic disruptions reported on Rawal Dam Chowk, Serena Chowk, Park Road & Zero Point, Club Road, and Faizabad Interchange  Vehicles long queues observed on Park Road  Commuters are requested to avoid above mentioned routes ",1
Roomi Rd road is free now from heavy traffic jam,0
9th avenue  is opened properly because of CCTV monitoring of vehicles,0
Kurram road is monitored by traffic police personnel working there,0
"Rally under the leadership of Mufti Haneef Qureshi from Amna Masjid (New Lalazar) to Zia Ul Uloom- 6th Road, D-Block, Rawalpindi  This road is also block and traffic jam happen due to rally ",1
"Rest areas of Saddar will remain open, you can reach Saddar, II Chundrugar road &Tower via Shahra-e-Faisal Metropole, Lucky Star or Lyari Express way ",0
G 17 is clear,0
Nurpur have no traffic today,0
Traffic jam expected at Shahrah e Faisal in afternoon today  Due to anti-dam rally,1
Still jam till PPP Chowrangi   Traffic is diverting to stadium road from Hassan Square,1
Roomi Rd road is now closed for light traffic,1
Airport road to Gulberg Underpass is free,0
Peshawer sadar is clear,0
"Committee Chowk towards Fawara Chowk, Iqbal Road  is closed for traffic",1
Traffic jam from A K fazal-ul-haq rd to luqman hakeem rd islamabad,1
Fraffic open before garden on lyari expressway,0
Jinnah avenue is blocked due to the vip traffic jam for Prince William and kat maddleton,1
Ijp road is clear,0
Kahuta Rd to Allama Iqbal Rd road is closed,1
Gulberg Underpass to Madina Town road is now free for light traffic,0
Traffic open from nipa to jauhar mor due to Aladin and neuplex,0
teen talwar and do talwar are also blocke,1
Double road is clear today,0
Hanna Rd road is now closed for light traffic,1
AlamChowk Road is closed due to emergency situations in the morning,1
Faizabad to Stadium Rd road is closed now due to emergency,1
Murree Road open From Rawal Dam Chowk towards Faizabad Interchange,0
Traffic open from jail Chowrangi towards university road,0
Saddar is opened from 4pm to 6 pm in the evening,0
No rush at commercial pindi,0
E-11 road is quite and low traffic,0
Faisal Avenue Flyover is now closed for light traffic,1
Pwd double road is clear,0
IJP road is monitored by traffic police personnel working there,0
khanapul to Airport Rd road is free now due to emergency,0
Sarfaraz road is clear,0
Traffic dead stop at zero point since 6 30  Stuck for more than an hour now,1
"Pindi Bhattian-Lahore, Pindi Bhattian-Faisalabad, and Faisalabad-Gojra motorway are open for traffic ",0
Islamabad expressway is closed due to Tehreek Labaik rally,1
What happened on IJP both sides?? Too much traffic,1
Traffic open from Club road to kashmir highway islamabad,0
Traffic jam from sudran road to madina town rd,1
Traffic open from nusrat fateh ali khan to mir chakar khan rd islamabad,0
Huge jam on Islamabad highway,1
Rawat to Khana pull is closed for traffic,1
IJP road is opened only to heavy traffic,0
Traffic jam from kurram road to rohtas road islamabad,1
No jams at salat,0
"Numaish chowk both roads are closed for traffic, traffic is diverted towards 45 congress to P P Chowrangi & society towards corridor",1
Whats happening at IJP   why is it blocked?,1
Japan Rd to Kahuta Rd road is now closed for light traffic,1
"Waris Khan Police Station towards Banni Chowk, Circular Road is closed for traffic",1
Kahuta Rd to Allama Iqbal Rd road is now free for Havey traffic,0
Traffic open from sawan road to service road E islamabad,0
Traffic open from muncipal rd to khayaban-e-suhrwardy rd islamabad,0
Kda kohat is clear at 5 pm,0
Traffic open from river view ave to south ave,0
Muree road is opened properly due to proper following of lane systems,0
Traffic jam from Urdu University till jail Chowrangi,1
Bannu town road is clear,0
Zero point to Faizabad road is free,0
9th avenue  is opened properly due to proper following of lane systems,0
Korang Rd road is free now from heavy traffic jam,0
AlamChowk road is monitored by traffic police personnel working there,0
9th avenue is temporally blocked due to heavy rain water,1
Zero point to Hanna Rd road is now closed for Havey traffic,1
Therr no jams at kashmir high way,0
Traffic jam from gulberg expy to service road W,1
Murre road is clear,0
Islamabad Expressway is block due to rally,1
IJP road is opened properly due to proper following of traffic rules,0
Faisal Avenue Flyover is free now from heavy traffic jam,0
Muree road is opened properly due to proper following of traffic rules,0
Trafic jam on Siddiqe chowk due to accident,1
Traffic jam reported at numaish and surrounding,1
AlamChowk Road is blocked due to Colliding of two trucks,1
Kuri road from highway is clear,0
Faizabad to Stadium Rd road is free now from heavy traffic jam,0
khanapul is closed now due to emergency,1
Kashmir Highway at Aabpara Chowk onwards to Convention Centre heavy traffic jam,1
A K  Fazl-ul-Haq Rd is free now due to emergency,0
Dhoke Hassu road is now free for bike riders,0
Madina Town road is free now from heavy traffic jam,0
"Traffic open at FTC, Kashmir road and Shahrah e Faisal",0
Korang Rd to Naval Anchorage Rd road is closed due to heavy traffic jam,1
Gulberg Underpass is closed,1
Garden Ave Flyover is closed due to heavy traffic jam,1
PIMS service road is now closed for Havey traffic,1
Traffic open from nipa to lucky one mall,0
Traffic open from gulberg expy to pine ave,0
Vehicles can easily go through Kashmir highway at 12:38 AM because its mid night and very few people are traveling at this time,0
Fazal-e-haq Road is blocked due to protestors,1
Islamabad (Daman-e-Koh): Around 250 religious activists carrying out protest rally from NPC to China Chowk against Parachinar attack  Please avoid the area & use alternate routes,1
Traffic open from service rd W to Golra rd islamabad,0
Kahuta Rd to Allama Iqbal Rd road is closed due to heavy traffic jam,1
No rush at h 8,0
Faisal Avenue open From Zeropoint towards Faizabad Interchange,0
Aamar chowk is block due accident and road is blocked,1
Saddar is opened properly due to proper working of traffic signals,0
Stadium Rd road is now free for light traffic,0
Range Rd road is free,0
Traffic jam from lehtrar road to farash rd,1
Traffic jam from service rd to razaq valley rd,1
Traffic Jam towards Barakaho from convention center,1
Rajah bazar is clear today moning,0
Dhoke Hassu to Range Rd road is free,0
Traffic open from koral town rd to universal road,0
Luqman Hakeem Rd is closed due to heavy traffic jam,1
Gulberg Underpass is now closed for bike riders,1
Dhok dalal bridge is blocked at the movement due to heavy traffic,1
T Chowk road is now free for bike riders,0
Rehman abad is clear at the movement,0
"I-10/2 Chambeli road is clear, no sign of traffic jam ",0
There rush on faizabad bridage better to use under pass root,1
"Unidentified people on bikes are forcefully closing the Karimabad Market;Gurumandir, lines area, numaish, star gate, ICI bridge, chundrigarh road and tower blocked by protesters",1
Kahuta Rd to Allama Iqbal Rd road is now closed for Havey traffic,1
Sehra e kashmir road is clear,0
Allama Iqbal Rd road is closed due to heavy traffic jam,1
Traffic jam reported at numaish and surroundin,1
Traffic jam on Saddar due to accident of two motorcycles,1
Traffic open from park enclave road to tanoli road,0
All roads are almost blocked in Rawalpindi,1
Khayaban Sir Syed Rd road is now closed for Havey traffic,1
Traffic open from PHA rd to service rd i-ll (south) islamabad,0
Traffic jam from nipa to jauhar mor due to Aladin and neuplex,1
Khayaban Sir Syed Rd road is closed due to heavy traffic jam,1
Traffic open from main margalla rd to ataturk ave islamabad,0
Hanna Rd road is closed,1
Massive traffic jam from Natha Khan bridge to star gate  #Karachi Time: 2:00p,1
Massive traffic jam in front of Liaquat National Hospital and AKUH,1
Dhoke Hassu road is closed,1
"Super highway Karachi to Hyderabad, both roads are closed for traffic ",1
Luqman Hakeem Rd is now closed for light traffic,1
Traffic open from gulberg expy to south ave,0
Chitral to Booni road is jam for al kind of traffics,1
Traffic jam from AIUU rd to ashfaq ahmed rd islamabad,1
Islamabad Higway fully Blocked   !,1
Japan Rd to Kahuta Rd road is free now due to emergency,0
Traffic jam on Neelam Road due to accident of two motorcycles,1
"Novelty Cinema towards Fawara Chowk, Kashmiri Market Road is closed for traffic",1
Khayaban Sir Syed Rd to Pirwadhai Rd road is now closed for Havey traffic,1
Traffic open in front of Central Jail,0
"Due to Aima baig concert, traffic jam from nipa to jauhar chowrangi",1
Korang Rd road is closed,1
No jams at ali pur,0
Traffic on both sides will remain closed from Geo Chowk towards Poly Clinic Fazl-e-Haq Road  Commuters should use Luqman Hakeem Road,1
Those traveling between the twin cities are advised to allocate additional travel time due to traffic disruptions in the vicinity and avoid all routes leading towards Murree Road,1
Traffic open at Ghareebabad Lyari Expressway interchange,0
T Chowk road is now closed for light traffic,1
Naval Anchorage Rd to Japan Rd road is free,0
Bannu new adah clear at the movement,0
Usual Traffic Jam at Ghareebabad Lyari Expressway interchange,1
Traffic jam from lehtrar road to pahse 1 rd,1
Rajah bazaar have no jams,0
Pirwadhai Rd to Dhoke Hassu road is now free for Havey traffic,0
there is no traffic on 7Avenue road,0
Stadium Rd road is now closed for Havey traffic,1
Khayaban Sir Syed Rd to Pirwadhai Rd road is now free for Havey traffic,0
Gulberg green is clear,0
From lasbella to rizvia chow,1
Khayaban Sir Syed Rd to Pirwadhai Rd road is free,0
Khayaban Sir Syed Rd road is closed,1
Traffic jam from service road east to koral town road,1
Gulberg Underpass to Madina Town road is free,0
Road jam at naval anchorage islamabad highway,1
khanapul to Airport Rd road is free now from heavy traffic jam,0
"Avoid IJP road, all traffic lanes occupied by HTV and no traffic police available to maintain law and order  Citizens are suffering daily for hours and hours  Most of the heavy vehicles break at the center of the road and cause huge traffic jams  ",1
Bannu kachari road is clear,0
Traffic open at rohtas road at G-9 kashmir highway islamabad,0
G9 have no traffic at the movement,0
khanapul is now free for bike riders,0
Naval Anchorage Rd to Japan Rd road is now closed for Havey traffic,1
Dhoke Hassu road is now closed for Havey traffic,1
Madina Town to Korang Rd road is free now from heavy traffic jam,0
Chandani chowk is clear,0
Saifullah road is clear,0
GT Road was closed because of heavy traffic jam,1
Traffic jam before garden on lyari expressway  Long line of cars,1
Behria phas 8 and 7 is clear,0
Neelam road is opened properly due to proper following of traffic rules,0
"Due to protest by shopkeepers of Tariq road, routes towards Tariq road have been closed for traffic, Traffic from liberty to Tariq road has been diverted towards Khalid bin Walid and jheel Park and Traffic coming from Attehad towards Tariq road has been diverted towards jail Bridge  Please drive Carefully",1
Rawal Chowk is closed for traffic,1
traffic open at I I Chundrigarh Rd,0
Chakzade is clear,0
I travelled from golra to Sadar between 12 and cane back around 4 there was no bloackage,0
There no traffic at harnoi,0
There traffic on Japan road,1
Japan Rd road is now free for Havey traffic,0
Faizabad to khanapul road is closed due to heavy traffic jam,1
Faizabad to khanapul road is now closed for light traffic,1
Garden area open for all traffic,0
Major road is closed due to fog in the morning,1
M2 motorway is blocked because of heavy traffic jam,1
khanapul is now closed for Havey traffic,1
New Airport road is Clear for traffic,0
Pir sohawa is clear,0
Kurram road is opened properly due to proper following of traffic rules,0
Heavy traffic at Islamabad motorway tool plaza on Sunday,1
raffic open from nipa to jauhar mor due to Aladin and neuplex,0
khanapul to Airport Rd road is now free for Havey traffic,0
Khani toad is clear,0
Japan Rd road is free,0
Traffic jam from sudran road to lehtrar rd,1
G10 is clear today no jams,0
Traffic open from garden ave to sahib zada abdul qayyum rd islamabad,0
Westridge is closed due to route in both ways,1
Traffic jam at rohtas road at G-9 kashmir highway islamabad,1
Dhoke Hassu road is free now from heavy traffic jam,0
Peshawar road is just closed for traffic after traffic jam,1
Traffic open from university rd to 3rd ave rd islamabad,0
Westridge is closed due to emergency situations in the morning,1
"Traffic jam situation around Noorani Kabab, Shahrah e Faisal and nearby areas",1
Traffic open in front of Liaquat National Hospital and AKUH,0
Dhok parahan is clear,0
Sadar Rawalpindi is facing no traffic jam,0
Marble Rd road is now free for light traffic,0
"Traffic open situation around Noorani Kabab, Shahrah e Faisal and nearby areas ",0
Expressway jam from faizabad to kora,1
Range Rd road is free now due to emergency,0
Korang Rd road is free now due to emergency,0
Maripur road is open for traffic,0
traffic jam due to traffic signal not working on adam G road rawalpindi,1
There is jam at muree,1
Westridge is temporally blocked due to heavy rain water,1
Mandra to chakwal is clear for traffic,0
Kalim awan is clear,0
Lodi is clear,0
Naval Anchorage Rd road is now closed for bike riders,1
There no trafficat chitta batta,0
Saidpur Rd to Khayaban Sir Syed Rd road is free,0
Zero point to Faizabad road is free now from heavy traffic jam,0
Pirwadhai Rd road is free now due to emergency,0
Traffic open from ak brohi rd to imam abu hanifa rd islamabad,0
Nusrat fateh ali khan road is clear now,0
Traffic open from khanna link road to ziyarat rd,0
Kahuta Rd road is closed now due to emergency,1
There is no jams on air port side,0
Traffic jam on 9th avenue due to accident of two motorcycles,1
Major road is opened properly due to proper following of traffic rules,0
Express highway is blocked due to protest at faizabad,1
Traffic open from ahmed faraz rd to service rd islamabad,0
Neelam road is closed due to cars accident,1
I have been through that road in the morning    got stuck badly ??,1
Traffic open from agha khan rd to school rd islamabad,0
Naval Anchorage Rd road is free now from heavy traffic jam,0
Faisal avenuehave no traffic,0
Mandi mor road  is clear,0
No traffic at grapeabad,0
"Traffic disruption may face MA Jinnah road, Saddar and adjoining roads Plan your journeys accordingly ",1
Garden Ave Flyover is now free for Havey traffic,0
Saidpur Rd road is now free for light traffic,0
Traffic blocked on expresssway near zero point due to UK royal couple visit to Pakistan monument,1
lehterar road is blocked due to constuction,1
AlamChowk road is opened properly due to proper following of traffic rules,0
G-9 is closed for all kind of traffic,1
PIMS Ibn-e-sina road is closed now due to emergency,1
Madina Town to Korang Rd road is now free for light traffic,0
Camati chowk rawalpindi block due to heavy traffic,1
Garden area traffic jam,1
Fateh jang road from national highway is clear,0
Mithyal to attock all road is blocked,1
Luqman Hakeem Rd is now closed for Havey traffic,1
Hashmi road is clear,0
Traffic jam from murre rd to garden ave islamabad,1
Traffic open from sachal sarmast road to  service road E islamabad,0
Traffic open from jinnah stadium road to sports board rd islamabad,0
Traffic jam from park rd to park enclave road,1
I 11 have no jams,0
Traffic is blocked on road from Islamia College to Mazar-e-Quaid #Karachi  Some sort of protest/incident,1
There is no jams at Qalandarabad,0
F-8 markaz is closed for all kind of traffic after the ancident,1
Dir to chitral road is jam for traffic,1
Traffic open from service road WEST to sahib zada abdul qayyum rd islamabad,0
Marble Rd to Roomi Rd road is free now due to emergency,0
Shaheed-e-Millat Road will be open for Traffic,0
Traffic open from shahrah e faisal towards airport,0
